"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","158","Test Automated Payments","","Tue Jan 28 17:46:00 IST 2025","failed","Tue Jan 28 17:46:00 IST 2025","","tests\Useful_Info\Test_Automated_Payments.spec.js","",""
"","6356","Test Search Functionality and Banners","","Tue Jan 28 17:45:51 IST 2025","passed","Tue Jan 28 17:45:57 IST 2025","","tests\Search\Test_Search_Panel_Links.spec.js","",""
"","105","Test Financial Security Page","","Tue Jan 28 17:46:03 IST 2025","failed","Tue Jan 28 17:46:03 IST 2025","","tests\Useful_Info\Test_Financial_Security.spec.js","",""
"","30021","Test Coach Holiday Search","","Tue Jan 28 17:45:31 IST 2025","broken","Tue Jan 28 17:46:01 IST 2025","","tests\Search\Coach_Holidays\Search_Coach_Holiday_London.spec.js","",""
"","3593","Test My Booking","","Tue Jan 28 17:45:06 IST 2025","failed","Tue Jan 28 17:45:09 IST 2025","","tests\Home_Page\Test_My_Booking.spec.js","",""
"","126","Test Gift Vouchers","","Tue Jan 28 17:46:04 IST 2025","failed","Tue Jan 28 17:46:04 IST 2025","","tests\Useful_Info\Test_Gift_Vouchers.spec.js","",""
"","3076","Verify Home Page header elements","","Tue Jan 28 17:44:57 IST 2025","passed","Tue Jan 28 17:45:00 IST 2025","","tests\Home_Page\HomePageElements.spec.js","",""
"","30024","Test Brochure Request","","Tue Jan 28 17:45:00 IST 2025","broken","Tue Jan 28 17:45:30 IST 2025","","tests\Home_Page\Test_Brochure_Request.spec.js","",""
"","119","Test Our Awards","","Tue Jan 28 17:46:05 IST 2025","failed","Tue Jan 28 17:46:05 IST 2025","","tests\Useful_Info\Test_Our_Awards.spec.js","",""
"","5328","Test Agent Login functionality","","Tue Jan 28 17:44:57 IST 2025","passed","Tue Jan 28 17:45:02 IST 2025","","tests\Home_Page\Test_Agent_Login_Page.spec.js","",""
"","8669","Test Destinations Panel","","Tue Jan 28 17:44:40 IST 2025","passed","Tue Jan 28 17:44:49 IST 2025","","tests\Destinations\Test_Destinations_Panel.spec.js","",""
"","91","Test Car Parking Table","","Tue Jan 28 17:45:58 IST 2025","failed","Tue Jan 28 17:45:59 IST 2025","","tests\Useful_Info\Car_Parking\Test_Car_Parking_Table.spec.js","",""
"","5704","Test Search Functionality","","Tue Jan 28 17:45:45 IST 2025","passed","Tue Jan 28 17:45:51 IST 2025","","tests\Search\Test_Search_Func.spec.js","",""
"","7817","Test Destinations > UK","","Tue Jan 28 17:44:49 IST 2025","passed","Tue Jan 28 17:44:57 IST 2025","","tests\Destinations\Test_UK.spec.js","",""
"","8166","Test Destinations > Discover all Destinations","","Tue Jan 28 17:44:40 IST 2025","passed","Tue Jan 28 17:44:48 IST 2025","","tests\Destinations\Test_Destinations.spec.js","",""
"","115","Test FAQs","","Tue Jan 28 17:46:02 IST 2025","failed","Tue Jan 28 17:46:02 IST 2025","","tests\Useful_Info\Test_FAQ.spec.js","",""
"","110","Test Book with confidence","","Tue Jan 28 17:46:01 IST 2025","failed","Tue Jan 28 17:46:01 IST 2025","","tests\Useful_Info\Test_Book_with_confidence.spec.js","",""
"","139","Test Deposits Table","","Tue Jan 28 17:46:02 IST 2025","failed","Tue Jan 28 17:46:02 IST 2025","","tests\Useful_Info\Test_Deposits_Table.spec.js","",""
"","3607","Test Getaway Banner","","Tue Jan 28 17:45:02 IST 2025","passed","Tue Jan 28 17:45:06 IST 2025","","tests\Home_Page\Test_Getaway_banner.spec.js","",""
"","7883","Test Last minute holidays","","Tue Jan 28 17:44:49 IST 2025","passed","Tue Jan 28 17:44:57 IST 2025","","tests\Destinations\Test_Last_Minute_Holidays.spec.js","",""
"","971","should load the correct page title","","Tue Jan 28 17:45:57 IST 2025","passed","Tue Jan 28 17:45:58 IST 2025","","tests\test.spec.js","",""
"","30033","Test Coach Holiday Search","","Tue Jan 28 17:45:14 IST 2025","broken","Tue Jan 28 17:45:44 IST 2025","","tests\Search\Coach_Holidays\Search_Coach_Holiday_Bristol.spec.js","",""
"","3532","Test Opening Times","","Tue Jan 28 17:45:11 IST 2025","passed","Tue Jan 28 17:45:14 IST 2025","","tests\Home_Page\Test_Opening_Times.spec.js","",""
